epoch,eval_reward,eval_sd
100,-75904603.1020427,33383.51777651441
200,-75782438.20640785,67219.51347589033
300,-75511977.46607201,144809.63447263587
400,-73915373.57474554,581145.6409823664
500,-73184600.81153475,187717.56212222236
600,-73034814.89730434,129358.05346962932
700,-72939826.94265768,51500.13407991409
800,-72900941.00219703,47403.989662235115
900,-72864428.10699509,37105.747421758635
1000,-72892707.60498789,108909.77736870012
1100,-72860393.71208231,40820.98649326289
1200,-72864545.37312745,31301.90302621569
1300,-72858868.51482835,37978.18352940662
1400,-72855711.40559883,33403.83705408908
1500,-72881278.31051013,43976.565714386714
1600,-72864478.17435768,58076.14754350949
1700,-72868642.47479303,52811.38659510558
1800,-72874896.61311033,28717.71030807451
1900,-72861444.59916094,46505.24448316364
2000,-72861496.5183597,33463.20737897708
2100,-72864803.4342874,36339.63345433555
2200,-72870978.97429298,44213.2532658098
2300,-72864515.86849673,44298.20229224812
2400,-72856897.79241249,26011.393162964174
2500,-72870609.98321393,39907.41613576247
2600,-72859600.73060197,55451.546734528485
2700,-72867765.59727228,47221.7862932513
2800,-72866278.72100243,36118.23466260988
2900,-72855904.08527328,26008.725375093414
3000,-72892122.5103009,72613.24430416386
3100,-72870092.70489775,29228.663510563983
3200,-72881441.87324126,64064.41529245453
3300,-72867812.58583486,37156.73943955651
3400,-72862284.34143904,42661.843324947404
3500,-72863869.5784772,40400.080873467065
3600,-72862858.40633045,27118.139266592283
3700,-72843669.94247404,31781.69402959729
3800,-72870807.06192592,55818.177620251976
3900,-72854920.54912837,40235.3955929542
