epoch,eval_reward,eval_sd
100,-75889545.88836634,32690.235038946215
200,-75809918.922367,53916.24999059507
300,-75536337.53271008,108748.12207064153
400,-74114253.28971621,528107.0941542079
500,-73075610.18235981,73743.07940896554
600,-73063828.47823282,132409.16141877312
700,-73017489.64308459,98738.13317170499
800,-73025131.88369343,88246.51159356738
900,-73033549.4421861,80707.87838809923
1000,-73020753.19261068,53406.25426748904
1100,-72983667.98426831,66617.25077221304
1200,-73038698.24437585,107430.63356427025
1300,-73033635.52608252,196680.71074771718
1400,-73074923.32546875,146103.07303266585
1500,-73034797.51288444,91356.16855783915
1600,-73022823.0070902,76106.99852604682
1700,-72998096.77822275,69477.13485675013
1800,-73007627.43967429,60486.07557959093
1900,-73022485.1112833,84313.39813263761
2000,-73004703.04925248,84791.59526393331
2100,-73026607.90053566,95694.776433077
2200,-73020716.91885357,75349.39054364292
2300,-73004951.08764623,79372.31756864907
2400,-73037740.59186015,82173.6121791771
2500,-73023017.49445224,68611.40490609751
2600,-73031905.21920581,154176.9364727347
2700,-73054717.67064182,76174.45625989571
2800,-73011640.05687556,89068.18555905214
2900,-73034045.72205912,86885.15038352249
3000,-73031630.35313305,80466.42546229447
3100,-72989113.01646297,62749.36460135396
3200,-73027205.00454131,85454.30935954668
3300,-73016992.62865753,87840.12161323571
3400,-73020167.67631456,125984.675348945
3500,-73013166.23936187,67775.27061257247
3600,-73021943.1096916,47067.58766462607
3700,-73031526.20536307,116174.05374661245
3800,-73017167.29349513,73984.69430802204
3900,-73042951.55404733,92942.9620668755
