epoch,eval_reward,eval_sd
100,-1.049040793087337,2.220446049250313e-16
200,-0.006309446144275166,8.673617379884035e-19
300,-0.0005581991178715262,1.0842021724855044e-19
400,-0.0006466456242128245,1.0842021724855044e-19
500,-0.0006466456242128245,1.0842021724855044e-19
600,-0.0006466456242128245,1.0842021724855044e-19
700,-0.0006466456242128245,1.0842021724855044e-19
800,-0.0006466456242128245,1.0842021724855044e-19
900,-0.0006466456242128245,1.0842021724855044e-19
1000,-0.0006466456242128245,1.0842021724855044e-19
1100,-0.0006466456242128245,1.0842021724855044e-19
1200,-0.0006466456242128245,1.0842021724855044e-19
1300,-0.0006466456242128245,1.0842021724855044e-19
1400,-0.0006466456242128245,1.0842021724855044e-19
1500,-0.0006466456242128245,1.0842021724855044e-19
1600,-0.0006466456242128245,1.0842021724855044e-19
1700,-0.0006466456242128245,1.0842021724855044e-19
1800,-0.0006466456242128245,1.0842021724855044e-19
1900,-0.0006466456242128245,1.0842021724855044e-19
2000,-0.0006466456242128245,1.0842021724855044e-19
2100,-0.0006466456242128245,1.0842021724855044e-19
2200,-0.0006466456242128245,1.0842021724855044e-19
2300,-0.0006466456242128245,1.0842021724855044e-19
2400,-0.0006466456242128245,1.0842021724855044e-19
2500,-0.0006466456242128245,1.0842021724855044e-19
2600,-0.0006466456242128245,1.0842021724855044e-19
2700,-0.0006466456242128245,1.0842021724855044e-19
2800,-0.0006466456242128245,1.0842021724855044e-19
2900,-0.0006466456242128245,1.0842021724855044e-19
3000,-0.0006466456242128245,1.0842021724855044e-19
3100,-0.0006466456242128245,1.0842021724855044e-19
3200,-0.0006466456242128245,1.0842021724855044e-19
3300,-0.0006466456242128245,1.0842021724855044e-19
3400,-0.0006466456242128245,1.0842021724855044e-19
3500,-0.0006466456242128245,1.0842021724855044e-19
3600,-0.0006466456242128245,1.0842021724855044e-19
3700,-0.0006466456242128245,1.0842021724855044e-19
3800,-0.0006466456242128245,1.0842021724855044e-19
3900,-0.0006466456242128245,1.0842021724855044e-19
