epoch,eval_reward,eval_sd
100,-208662.01233351888,2871.998810443724
200,-203571.2926247402,4833.182076891554
300,-196167.6126612444,7281.0051043885915
400,-173233.32759526922,10010.193239190652
500,-159083.29202508804,4972.834549228653
600,-155875.62674444594,1673.425494904763
700,-155879.11112647082,2296.790020561056
800,-155477.2826705406,2711.445447337891
900,-152197.91417083849,2841.158623119752
1000,-147039.29433507967,4905.267810913938
1100,-138490.31016226168,6007.097215055926
1200,-115418.60805759342,7485.471483427986
1300,-103302.91081133173,5358.832449060919
1400,-98877.40820120748,1678.7779989435426
1500,-98417.33811169647,1526.3654070794555
1600,-98147.10905509758,1193.3596337446506
1700,-97522.42747433987,1651.17827238971
1800,-97394.796786976,1997.7356414022192
1900,-96634.97900798284,1012.8658121263378
2000,-98156.0759721471,4929.158713615583
2100,-96506.78539993102,1446.1034619900536
2200,-96957.73525348018,3037.5084442462376
2300,-96451.56067297001,1078.6789499963718
2400,-95679.03005972324,1069.2619269012257
2500,-96077.10278028408,1337.1472338943188
2600,-96377.50944708579,1396.094616079897
2700,-95959.47304691197,1494.033732871486
2800,-95389.66073487133,959.2882500289585
2900,-95627.58884970433,1365.5206177965981
3000,-95153.18293982127,1792.5723347860578
3100,-95025.62739553157,1271.085619023921
3200,-94179.46372901706,981.0350783672415
3300,-94435.2577125056,1260.465483185793
3400,-94969.19512353855,2575.9239866247894
3500,-94323.65468337464,1867.8493071246169
3600,-93160.28237691926,1027.3849331381011
3700,-93351.35314999046,1771.144316424445
3800,-92459.34808981438,838.1487001346856
3900,-92169.35985930973,1339.9455903417688
