epoch,eval_reward,eval_sd
100,-8921425.49787665,11247.714379463598
200,-8896111.563637935,16206.320583437951
300,-8858212.261230534,21740.519281624427
400,-8639513.336537372,91968.21701043598
500,-8515522.987165766,13925.046186100117
600,-8509860.461767733,29467.164921698837
700,-8463227.667468986,21106.48983296553
800,-8297281.801870969,52234.850904338615
900,-7145622.089376603,137560.27177172436
1000,-6976557.770897473,72899.6532959212
1100,-6804762.284560899,87614.3395493977
1200,-6700778.36116468,57069.07251707592
1300,-6642102.28056753,41963.49056710294
1400,-6608606.541771404,50693.392718820935
1500,-6573680.490764241,58831.36992677822
1600,-6551277.950212653,31063.744266422364
1700,-6511406.119239808,27184.865152013906
1800,-6246547.544536477,121487.37050970926
1900,-6266889.782576818,151066.16429786946
2000,-6241875.5060869325,160543.29407261717
2100,-6292744.749278563,131332.05598460246
2200,-6202914.68883519,126863.82932332423
2300,-6209843.978058339,141854.56094662438
2400,-6201914.527494566,107597.59520136085
2500,-6224437.384249103,104872.1964444226
2600,-6324672.485643477,130745.44232292361
2700,-6213786.978870725,115911.64649831584
2800,-6239577.717818352,142851.1141432634
2900,-6281276.894223808,141119.86252936276
3000,-6255887.352138835,159750.96661067058
3100,-6274873.612814136,135521.79719746512
3200,-6211728.535037471,110374.29895054278
3300,-6260157.676639667,153246.8768425097
3400,-6213806.236039498,136399.06247801715
3500,-6205051.962361353,112995.85280787398
3600,-6208111.6326782135,101027.81927155034
3700,-6207680.619473089,109064.43682072536
3800,-6214329.759561259,124205.79105993184
3900,-6263708.109431115,139942.6293283336
