epoch,eval_reward,eval_sd
100,-207336.17769628105,4772.179954144101
200,-202759.33770653614,5065.679957878327
300,-194826.21867834846,7488.446411715132
400,-174814.52690388574,10074.151298844945
500,-157495.6579296678,4501.736978241906
600,-156792.9562581746,2437.2722237023195
700,-156099.29286293723,1779.1122303233592
800,-154200.5169739414,2837.326506133542
900,-151836.39412470793,2673.552800345418
1000,-148342.45931157793,6117.497421247629
1100,-133611.08575908327,8206.78813248876
1200,-119768.1576975229,8021.196232833921
1300,-108885.13149875632,7547.358675989754
1400,-99235.60918061555,2850.160949955223
1500,-98409.50995112424,2012.086361300724
1600,-98943.66574327812,2696.422175123796
1700,-97390.59367645768,1692.3604389789182
1800,-97374.95607626461,1339.282053471752
1900,-97212.51297007398,907.7053567584201
2000,-96592.93547038356,1205.2768570452597
2100,-97140.33026306648,2880.8902930468576
2200,-96521.58551658064,1248.4802348049548
2300,-96791.02520398844,1293.8088096631266
2400,-97256.84534363376,3131.3105983254477
2500,-96596.11971385832,1897.2796703480187
2600,-95803.67175747166,972.0901775790697
2700,-95845.5693377892,787.9629385227606
2800,-95599.81089976567,960.0185081492347
2900,-95238.36448920732,1148.3749813736144
3000,-95290.85593099252,1040.2801082200729
3100,-95753.35882741037,1905.657177039845
3200,-94967.13944884084,917.7131188741154
3300,-94987.1405854162,1396.3705252219254
3400,-94510.38298530472,2886.1752813294147
3500,-93980.85938961347,1125.9250512376116
3600,-93530.88407916181,878.7759780558332
3700,-92844.45150869257,1011.751038353885
3800,-92701.29567700691,1507.9605951230105
3900,-92715.27422102622,1235.5507340216259
