epoch,eval_reward,eval_sd
100,-8927674.339309853,6438.91415199949
200,-8899438.796312135,14020.407946570604
300,-8858265.26930652,22209.35822629122
400,-8642772.30248665,106574.84104088406
500,-8515438.625021927,12683.868242197479
600,-8508195.728062922,31586.57229860755
700,-8478540.826973874,20113.66849699263
800,-8337805.432021327,58763.48204948434
900,-7344158.119579141,290913.5011731968
1000,-6996036.029964892,99250.227618691
1100,-6804832.83701363,76050.15116095252
1200,-6675683.883107128,49193.59056864833
1300,-6695006.276991474,48369.637522984565
1400,-6689596.5205677645,49237.31791215753
1500,-6717771.096173095,71592.64499144246
1600,-6694671.388596902,57919.79565024767
1700,-6693884.846870358,79661.53649987848
1800,-6690780.7565865405,66119.22442310024
1900,-6694154.238139955,41834.687349838685
2000,-6690975.590224449,44601.011713113316
2100,-6705156.375141952,75821.12029397221
2200,-6687148.0186020415,56427.15162234056
2300,-6708249.623851911,59873.37222590545
2400,-6705469.42641216,68710.8219952405
2500,-6696212.012411695,55955.814095370224
2600,-6721568.7780863885,67983.89393333821
2700,-6712018.398223886,50791.343404338986
2800,-6684121.762038995,57036.26987197906
2900,-6733211.058582256,71269.07602881915
3000,-6703552.224832985,70970.44895971907
3100,-6710445.374419277,81873.62508819703
3200,-6713599.427505055,71359.12841576095
3300,-6704692.287985759,38274.31055435787
3400,-6696457.719256995,68525.9369436838
3500,-6713957.551603096,77686.1184957526
3600,-6720108.860946951,51880.1583278517
3700,-6694274.377093698,55013.04057629862
3800,-6707237.948188996,65482.16687646279
3900,-6687191.372657581,52688.47033128123
