epoch,eval_reward,eval_sd
100,-75890024.5259091,37974.592499944185
200,-75778613.63026533,59371.147000942576
300,-75491891.01878504,100187.6259151939
400,-73897414.59035,593560.2964233095
500,-73172900.86535977,237546.25209274955
600,-72999664.06869748,70551.55578837279
700,-72937580.08419801,44400.96251352169
800,-72917184.08520421,79519.69790261016
900,-72860434.17684686,29024.168778552717
1000,-72866142.88564667,42918.92491154469
1100,-72860988.05629623,44621.88597700065
1200,-72890408.26337564,44111.04099262064
1300,-72856289.67380174,41183.3429149249
1400,-72854770.61759447,41734.02418945395
1500,-72855857.4017515,39834.550885993754
1600,-72862760.6566331,30466.975899176177
1700,-72863302.45568593,40388.434969319875
1800,-72856125.29538257,38575.83700959796
1900,-72855771.57598405,29810.22519888292
2000,-72864231.979915,40452.26231805118
2100,-72856032.54628372,26782.304102483635
2200,-72855796.88879506,38389.3245529671
2300,-72864020.10540988,28896.58212448802
2400,-72874743.255604,40949.88858951472
2500,-72869521.58014347,32424.392307466707
2600,-72866567.81177594,38711.606693641195
2700,-72870059.0332785,28063.438308893095
2800,-72871064.87474169,34915.370351621255
2900,-72859417.31600729,38836.58260181358
3000,-72845135.93535465,30718.535840883404
3100,-72870459.22667935,34512.76931274288
3200,-72874274.5883232,44254.04708098497
3300,-72871302.61476913,37665.140642774204
3400,-72863939.87303886,34028.49672312614
3500,-72853425.48695004,28142.133986465622
3600,-72859814.98499958,37394.62926978116
3700,-72860697.91683121,34062.77225324076
3800,-72859912.87050661,27043.310065664016
3900,-72850023.1967465,34198.91547625788
