epoch,eval_reward,eval_sd
100,-3000088.360756921,24193.59967359121
200,-2962017.678463568,29950.780490756595
300,-2935254.9170868667,37566.68861810655
400,-2918809.6739407736,32159.057298155665
500,-2881693.38301823,37701.5792167942
600,-2846197.4808592396,29821.991241103296
700,-2800673.8331226604,33037.529489146335
800,-2788768.03560715,45029.48389539233
900,-2733900.774496143,46752.57925209203
1000,-2699348.249176503,37623.1863075127
1100,-2673297.4329750827,31270.62088887446
1200,-2659724.1109036533,41759.201959769896
1300,-2628505.4194861464,39468.9911557771
1400,-2612304.0572765586,32278.401237031736
1500,-2586369.4817632283,48777.22264139192
1600,-2560487.3438121914,35070.68125508429
1700,-2557881.5802328596,31186.729623667525
1800,-2527525.8450933406,34921.116228918414
1900,-2524882.4797164286,30397.24427714481
2000,-2517919.843268907,27021.43238017478
2100,-2504137.0419086777,29918.526795385056
2200,-2484414.5716427807,23549.607000841756
2300,-2486856.5366200875,27059.297544976773
2400,-2490230.830442316,33240.12105458779
2500,-2475770.7671856796,37125.10715179567
2600,-2451350.2760164985,37421.51521495497
2700,-2448148.7597256834,31796.046806521892
2800,-2437320.487407013,32291.714023037417
2900,-2431656.6992625883,37216.83814589025
3000,-2413298.054628979,33616.622076699394
3100,-2389784.716587928,26154.379941337756
3200,-2388108.6658739606,33716.886824720124
3300,-2368914.821397304,29387.260867502122
3400,-2351961.5875608195,35684.48987610123
3500,-2351032.4549594577,28856.981390917088
3600,-2339192.9287310326,33098.316475646934
3700,-2335858.6321400097,33453.10774415571
3800,-2319094.971058824,31388.708922370315
3900,-2305362.257164151,28520.763489534558
