epoch,eval_reward,eval_sd
100,-207259.3211712826,4519.160111178871
200,-203539.9736178653,5417.152867475043
300,-196787.74380770032,6631.465533228181
400,-180326.90328214032,9503.501151440878
500,-159858.11247061126,4521.0518456968975
600,-157657.54852883474,3668.2110107847407
700,-155890.06310303378,2173.202539698124
800,-153392.42073456725,2594.775500304056
900,-151882.0773574073,4097.028397002147
1000,-149098.99939768942,3486.0798423145243
1100,-136476.39073165754,7422.319731155131
1200,-122369.72301920182,9442.89766510008
1300,-106504.17480247864,7019.974161578456
1400,-99030.92514083232,2746.7718612285234
1500,-97652.39551491677,1473.7142122516677
1600,-97167.68018079031,1084.794122462069
1700,-97665.98242489276,2539.2137825767595
1800,-97116.76729323031,1043.3003413592266
1900,-97076.01492161953,1248.9417933272834
2000,-96778.12498312928,1725.202285727344
2100,-96776.7956293487,2951.747849191754
2200,-96485.62299740371,1202.5098529109885
2300,-96152.07243725819,1068.9014135330087
2400,-95897.70550641895,1258.8323476288015
2500,-95955.90382072219,718.7322468629636
2600,-95580.88395783163,1059.3432647917575
2700,-95373.12582121842,1462.4315330485474
2800,-95246.62238740522,1339.8119756535204
2900,-94707.9969720697,1030.6370624055298
3000,-95075.72664447917,1246.4542953328682
3100,-94699.53892782409,869.7463020650064
3200,-94597.20017304865,1212.5500060540844
3300,-94456.12824162097,636.6206202970732
3400,-93721.3217771633,1250.3865136762731
3500,-93758.51496478621,857.4899118589916
3600,-93140.19291340088,1263.7916885011753
3700,-92519.49720981262,1140.4244206675148
3800,-93033.40261105147,2796.9531820796747
3900,-91458.10572761216,1255.8972819764047
