epoch,eval_reward,eval_sd
100,-8921742.806035748,10047.2922291636
200,-8902021.8363855,16567.3033795405
300,-8857507.366725806,25518.917832997427
400,-8657753.503004897,106086.53485487726
500,-8527220.75631127,35782.35499948226
600,-8517253.310822006,20039.825576725598
700,-8485698.405634472,42557.70736106193
800,-8387812.237023115,44032.87011804292
900,-7649853.172605108,292315.8067297895
1000,-7028159.984498793,93280.10669575757
1100,-6830357.465712656,86681.25528112518
1200,-6735666.090368469,67907.73655434258
1300,-6674870.868188331,56311.9823048847
1400,-6588881.898283829,36772.42151096657
1500,-6584668.688797792,34492.88239406856
1600,-6551929.733901633,30751.8747091973
1700,-6512827.451533751,22761.422704119723
1800,-6337195.86905177,105828.83230521141
1900,-6226729.975355593,119503.226017258
2000,-6231516.096171594,132760.7246248833
2100,-6266100.324310686,100664.14613660425
2200,-6201359.356455574,146857.12465817024
2300,-6266274.758621334,119566.39429866413
2400,-6295328.236018169,143362.68756091793
2500,-6228901.525066923,136703.75061317693
2600,-6275254.573645244,126643.249862426
2700,-6292435.046710885,115584.89936592056
2800,-6249865.803777473,140801.67180790176
2900,-6209978.508772337,163505.05776938348
3000,-6232805.048911792,103089.18874858931
3100,-6219298.267425403,152199.77600188612
3200,-6269190.404761836,137675.2020679762
3300,-6237824.799571731,139442.8849389896
3400,-6246574.793038225,176722.39361925714
3500,-6240927.49311422,127645.81791837253
3600,-6193008.875204544,125506.69793614496
3700,-6274751.820362725,121035.79880434532
3800,-6272863.42121105,158873.90253985988
3900,-6266784.181665545,127814.57088606727
