epoch,eval_reward,eval_sd
100,-8922616.012957633,9803.10394506891
200,-8900978.740088286,11065.836062929005
300,-8859132.387998845,25393.961993545738
400,-8620955.890291067,88871.01923232725
500,-8547045.997206349,77785.21439050532
600,-8501074.272133518,13168.007503003033
700,-8482257.374499671,28013.10381371605
800,-8386932.430768726,31885.65419858415
900,-7394609.791749073,322245.9460406778
1000,-6991947.852509061,78940.3839783556
1100,-6849412.902810544,94696.58137617697
1200,-6716142.296650154,68520.02209778494
1300,-6681999.184046192,57917.0603732505
1400,-6620921.523712714,43062.679505601496
1500,-6586898.697897841,44750.7044236433
1600,-6556626.543305399,33467.33781690582
1700,-6505823.161486209,85942.7724958787
1800,-6415227.584973766,97212.73965425942
1900,-6433602.463877432,89094.63892094835
2000,-6406252.062212826,113819.49598132029
2100,-6372299.533300681,122721.12351312749
2200,-6376312.096173239,116228.55863434476
2300,-6367652.067348396,137976.51170484722
2400,-6375840.998725136,126497.77538533829
2500,-6385110.600935397,99361.74948561109
2600,-6423823.133360846,102199.22944083801
2700,-6401569.131090438,79100.91762668327
2800,-6329213.895333046,115011.90434907837
2900,-6391549.600982381,86877.69714707934
3000,-6321438.676504991,119661.4276772313
3100,-6353882.994854385,132657.7146774777
3200,-6345631.7224331265,122851.94734414245
3300,-6353164.086214154,148993.0727732037
3400,-6403445.335543354,89564.27865392248
3500,-6364933.263070127,88052.46056030891
3600,-6379821.067175215,131568.3058279428
3700,-6354393.450737532,133483.98467956425
3800,-6330432.972203052,118238.24483052011
3900,-6417330.527227046,88791.08023285792
