epoch,eval_reward,eval_sd
100,-208421.81028747128,4590.130265289219
200,-203968.1496628622,3781.769373458704
300,-195106.8390334171,7017.599061432223
400,-175763.09541033566,7712.870902013337
500,-158933.22058589003,5412.328768602914
600,-156869.68535977422,3031.511092320738
700,-156181.3567297691,2521.273576539653
800,-153972.53282056857,2358.08833092581
900,-150808.17085608633,3706.5656740034015
1000,-147964.73135912663,4990.702214722793
1100,-136597.24155363618,8011.551179558849
1200,-119991.91641340933,7703.716546327911
1300,-103867.97200419707,4554.634535071465
1400,-99288.07061980231,2727.809920741041
1500,-98910.19109470866,2330.633256778375
1600,-98380.01911969153,2377.18466987304
1700,-96937.14977484397,1296.1220613806518
1800,-97098.6917030169,1571.0059297282107
1900,-96789.6615450535,1015.6274258575435
2000,-96676.82414645818,1384.9976455663746
2100,-97619.84004523754,1938.9818409217885
2200,-96453.05586781794,988.2707978998512
2300,-96833.39917189261,2590.5546037582208
2400,-96446.37305968085,2136.7759227596052
2500,-95419.25866659117,1235.3687555874492
2600,-95623.45424118386,867.5501426408282
2700,-95176.14485021321,984.8020912894609
2800,-94825.96215806763,977.2113080265264
2900,-94896.90852693623,1187.3186558798257
3000,-94980.77076979892,1652.2028714120886
3100,-94176.96116604802,824.5992831775241
3200,-95373.17697409143,2848.2482874198636
3300,-94563.90064229802,1759.8588332540555
3400,-93952.76188505656,1993.8828877108879
3500,-93430.87590730135,1042.3890131345195
3600,-93100.96059384622,1238.5413028783048
3700,-92913.72316539992,1988.445745578775
3800,-92275.14054618224,1367.0838841239097
3900,-92602.2276027885,3877.6456204974766
