epoch,eval_reward,eval_sd
100,-208304.26674134447,4230.264908130688
200,-203821.67007520012,3157.5837994541407
300,-196707.8332032821,6218.318417840993
400,-177685.8100491507,10245.574043621991
500,-158306.25577347341,4081.081148108292
600,-156691.41976614966,2634.447749296531
700,-154836.57936957953,2066.830306435469
800,-154401.2947604306,2948.5332836026705
900,-152499.95391278056,3033.2937160304427
1000,-147779.60219405795,3579.296677177535
1100,-137722.06839989408,7451.829154809521
1200,-119136.52502943776,9368.527040700412
1300,-106522.70250728885,7099.73908665738
1400,-100084.39922478706,3228.5689912801217
1500,-98911.95279436397,2151.363861182475
1600,-98114.17231174647,1797.4051815368248
1700,-97486.13085644915,1605.7393806816676
1800,-97543.24459131398,1514.9981362612239
1900,-97541.23358520228,1939.6458038804278
2000,-97122.27172413512,1675.322800859769
2100,-97557.59498354289,2988.1574511311605
2200,-97383.27039949797,2353.399599326245
2300,-97607.46250468303,4133.2846303588985
2400,-96589.71669547957,1865.538636723527
2500,-95582.2757415167,949.1604796586724
2600,-95912.84284788917,1643.1910419689427
2700,-95874.17460338616,1654.6544570723688
2800,-95034.00077760583,785.5118874363907
2900,-95630.7990419593,1630.6227111232088
3000,-95144.36198335815,1298.3348279279237
3100,-94717.21945189775,1072.9943784056527
3200,-94924.17165549725,1720.1770515961189
3300,-95374.20314059817,3135.9385954039362
3400,-93718.5602150691,1046.730496987188
3500,-93669.22821592152,1002.6054785458673
3600,-93140.97092070623,920.0772904196137
3700,-93682.31097601439,1595.840374923966
3800,-92522.67650860005,1737.5048845160306
3900,-92632.21092058453,1968.153620907443
