epoch,eval_reward,eval_sd
100,-75913485.21898612,43001.569057572604
200,-75822486.46605395,48663.78661135655
300,-75530488.50150916,111758.88384873081
400,-74202494.77200776,483649.2681378165
500,-73168574.99625117,143276.92104586458
600,-73020482.37223724,72695.29672843732
700,-72956186.13421158,61339.81799116412
800,-72890423.8539302,30431.460012160955
900,-72879365.07198304,44225.840815064505
1000,-72864049.035507,35099.71441144789
1100,-72865467.58412075,40619.96375962828
1200,-72854427.42821798,42537.98889272411
1300,-72884712.68821746,41570.03010870582
1400,-72876668.32543495,55038.80935606647
1500,-72867059.1812955,38638.39150180722
1600,-72883067.62675501,44205.73032694192
1700,-72879180.39157996,49318.10681604366
1800,-72865644.52743022,41446.48274654892
1900,-72872316.61400244,47951.93265726027
2000,-72845507.11292443,34628.76583001239
2100,-72856935.97384539,37223.88485282988
2200,-72856759.21874587,30474.64177985594
2300,-72873926.50184187,38593.3760993444
2400,-72875551.70634912,31062.5565051109
2500,-72899444.14551438,73219.14762254548
2600,-72885034.34414685,63690.03266993455
2700,-72851660.3481389,29299.745527820036
2800,-72888748.3078405,49780.03078022989
2900,-72870024.98847616,36581.822213685286
3000,-72865476.24881375,35041.62077937677
3100,-72862980.65973343,36525.79104954847
3200,-72873114.27190354,42488.03122975874
3300,-72877795.02681358,34558.64026502295
3400,-72881763.39489938,34868.12905370629
3500,-72880126.24845584,56126.82747715909
3600,-72876124.34328398,38851.1536344829
3700,-72879135.820139,42883.65451907837
3800,-72887968.21951191,57037.69345737668
3900,-72863483.3066043,42080.28333943535
